,expr,r2,re
0,Keijzer-10,    1.0,                3.296229767772576e-17
1,Keijzer-11,    0.9999999999999503, 1.4700201735234915e-06
2,Keijzer-12,    0.9999523822137548, 0.1274203740318295
3,Keijzer-13,    0.9999999999553745, 6.675720214833232e-06
4,Keijzer-14,    0.9999999999999784, 1.74502712851863e-07
5,Keijzer-15,    0.9976034631310454, 0.18457318217563976
6,Nguyen-9,      1.0,                3.5639123768062127e-16
7,Nguyen-10,     1.0,                0.0
8,Nguyen-11,     1.0,                2.7567434980586953e-17
9,Nguyen-12,     0.9999475500104467, 0.06753179202978127
10,Constant-3,   0.9999989843064686, 0.003309164120299827
11,Constant-4,   0.9998015190807753, 0.014050254115351995
12,Constant-7,   0.5609906222352028, 2.193491885028565
13,Livermore-5,  1.0,                3.480920120098682e-17
14,Livermore-10, 0.9999999999643818, 5.960464477531807e-06
15,Livermore-11, 1.0,                6.161743952673176e-17
16,Livermore-12, 1.0,                8.397799260183486e-17
17,Livermore-14, 0.9995031399559712, 0.23122966136624107
18,Livermore-17, 1.0,                0.0
